
Re=50.0, We=0.1, Ma=0.005, t=8.0005al=0.1, Stability=0.0827717262853
Re=50.0, We=0.5, Ma=0.005, t=8.0005al=0.1, Stability=4.22719513673
Re=50.0, We=1.0, Ma=0.005, t=8.0005al=0.1, Stability=-0.807900918781




Re=50.0, We=2.0, Ma=0.005, t=8.0005al=0.1, Stability=-0.203160797722
Re=100, We=0.001, Ma=0.01, t=8.0005al=0.1, Stability=0.0860356036481
Re=100, We=0.1, Ma=0.01, t=8.0005al=0.1, Stability=0.13190335626
Re=100, We=0.25, Ma=0.01, t=8.0005al=0.1, Stability=0.332209254476
Re=100, We=0.5, Ma=0.01, t=8.0005al=0.1, Stability=4.64843155289
Re=100, We=1.0, Ma=0.01, t=8.0005al=0.1, Stability=-0.81075998944
Re=200.0, We=0.001, Ma=0.02, t=8.0005al=0.1, Stability=0.116490191287
Re=200.0, We=0.1, Ma=0.02, t=8.0005al=0.1, Stability=0.212299568375
Re=200.0, We=0.25, Ma=0.02, t=8.0005al=0.1, Stability=0.421865678089
Re=200.0, We=0.5, Ma=0.02, t=8.0005al=0.1, Stability=5.39205943015
Re=200.0, We=1.0, Ma=0.02, t=8.0005al=0.1, Stability=-0.819793433899
Re=25, We=0.5, Ma=0.0025, t=10.0al=0.1, Stability=11.8528086089
Re=50, We=0.5, Ma=0.005, t=10.0al=0.1, Stability=13.7163278888
Re=100, We=0.5, Ma=0.01, t=10.0al=0.1, Stability=19.1992641882
Re=200, We=0.5, Ma=0.02, t=10.0al=0.1, Stability=42.3338678653
Re=25, We=0.5, Ma=0.0025, t=5.0005al=0.1, Stability=6.41330637954
Re=50, We=1e-05, Ma=3e-16, t=5.0005al=0.1, Stability=0.0480634421202
Re=50, We=0.1, Ma=0.05, t=5.0005al=0.1, Stability=0.097486033289
Re=50, We=1e-05, Ma=3e-16, t=0.05al=0.1, Stability=0.0136295318787
Re=50, We=0.1, Ma=0.05, t=0.05al=0.1, Stability=-0.000483706623172
Re=50, We=1e-05, Ma=3e-16, t=0.05al=0.1, Stability=0.0176028990769
Re=50, We=0.1, Ma=0.05, t=0.05al=0.1, Stability=-0.000345697343928
Re=50, We=1e-05, Ma=3e-16, t=5.0005al=0.1, Stability=0.0273872600736
Re=50, We=1e-05, Ma=3e-16, t=0.05al=0.1, Stability=0.0005052233257
Re=50, We=0.1, Ma=0.05, t=0.05al=0.1, Stability=-0.00184642400493
Re=50, We=1e-05, Ma=3e-16, t=0.05al=0.1, Stability=-6.65366821652e-06
Re=50, We=0.1, Ma=0.05, t=0.05al=0.1, Stability=-0.00172368140079
Re=50, We=1e-05, Ma=3e-16, t=0.1al=0.1, Stability=-4.1771731433e-05
Re=50, We=1e-05, Ma=3e-16, t=0.1al=0.1, Stability=-0.000124486150274
Re=50, We=0.1, Ma=0.05, t=0.1al=0.1, Stability=0.0839864371339
Re=50, We=1e-05, Ma=3e-16, t=0.01al=0.1, Stability=0.00046699176638
Re=50, We=0.1, Ma=0.05, t=0.01al=0.1, Stability=0.00419664290905
Re=50, We=1e-05, Ma=3e-16, t=0.01al=0.1, Stability=0.00046699176638
Re=50, We=0.1, Ma=0.05, t=0.01al=0.1, Stability=0.00419664290905
Re=50, We=1e-05, Ma=3e-16, t=5.0005al=0.1, Stability=0.0236698886414
Re=50, We=0.1, Ma=0.05, t=5.0005al=0.1, Stability=0.150051347624
Re=50, We=1e-05, Ma=3e-16, t=5.0005al=0.1, Stability=0.0236698886414
Re=50, We=0.1, Ma=0.05, t=5.0005al=0.1, Stability=0.150051347624
Re=50, We=1e-05, Ma=3e-16, t=0.00376476629745al=0.1, Stability=-0.000196374065722
Re=50, We=1e-05, Ma=3e-16, t=0.0522634155932al=0.1, Stability=7.99685962047e-05
Re=50, We=0.5, Ma=0.005, t=10.0000819396al=0.1, Stability=0.767196277521


Re=50, We=0.5, Ma=0.005, t=10.0000819396al=0.1, Stability=0.767196277521
Re=50, We=0.5, Ma=0.005lambda=0, t=10.0000819396al=0.1, Stability=0.842075853596
Re=50, We=0.5, Ma=0.005lambda=0, t=10.0000819396al=0.1, Stability=0.842477021531
Re=50, We=0.5, Ma=0.005lambda=0.1, t=10.0000819396al=0.1, Stability=1.39858133797
Re=50, We=0.5, Ma=0.005lambda=0, t=10.0000819396al=0.1, Stability=0.841935411668
Re=50, We=0.5, Ma=0.005lambda=0.1, t=10.0000819396al=0.1, Stability=1.38875250918
Re=50, We=0.5, Ma=0.005lambda=0.2, t=10.0000819396al=0.1, Stability=30.5065633758



Re=50, We=0.5, Ma=0.005lambda=0, t=10.0000819396al=0.1, Stability=0.49882380814
Re=50, We=0.5, Ma=0.005lambda=0.1, t=10.0000819396al=0.1, Stability=0.741943469234
Re=50, We=0.5, Ma=0.005lambda=0.2, t=10.0000819396al=0.1, Stability=0.976613775602


Re=50, We=0.5, Ma=0.005lambda=0, t=10.0000819396al=0.1, Stability=0.0795130312711
Re=50, We=0.5, Ma=0.005lambda=0.1, t=10.0000819396al=0.1, Stability=0.0949007672378


Re=50, We=0.5, Ma=0.005lambda=0, t=10.0000819396al=0.1, Stability=0.0795130312711
Re=50, We=0.5, Ma=0.005lambda=0.1, t=10.0000819396al=0.1, Stability=0.094247557958
Re=50, We=0.5, Ma=0.005lambda=0.2, t=10.0000819396al=0.1, Stability=0.0500119545311
Re=50, We=0.5, Ma=0.005lambda=0, t=0.104526831186al=0.1, Stability=-0.000389561583053
Re=50, We=0.5, Ma=0.005lambda=0, t=10.0000819396b=20.0, Stability=-2.65569207831
