Re=50, We=0.1, Ma=0.001, t=10.0, E_k=0.0720699497555, E_e=0.497334512864
Re=50, We=0.1, Ma=0.001, t=10.0, E_k=0.0733332141115, E_e=0.498146444771
Re=50, We=0.25, Ma=0.001, t=10.0, E_k=0.0791618264242, E_e=4.35679813893
Re=50, We=0.5, Ma=0.001, t=10.0, E_k=0.0793556796274, E_e=27.324959334
Re=50, We=0.75, Ma=0.001, t=0.05, E_k=1.12079387442e-08, E_e=-4.04385485967e-06
Re=50, We=0.75, Ma=0.001, t=0.05, E_k=1.12079387482e-08, E_e=-4.04385442791e-06
Re=50, We=0.75, Ma=0.001, t=10.0, E_k=0.0824130847369, E_e=65.7108769325
Re=50, We=0.75, Ma=0.001, t=5.0005, E_k=0.0718559264078, E_e=0.294593266615
Re=50, We=0.1, Ma=0.001, t=10.0, E_k=0.0712704827122, E_e=0.289529628515
Re=50, We=0.1, Ma=0.001, t=10.0, E_k=0.0731039681866, E_e=0.291770975441
Re=50, We=0.25, Ma=0.001, t=10.0, E_k=0.0700331457955, E_e=1.83180482173
Re=50, We=0.1, Ma=0.001, t=8.0005, E_k=0.0725097787303, E_e=0.00880506787234
Re=50, We=0.1, Ma=0.001, t=0.05, E_k=1.7202228106e-08, E_e=-1.97914623128e-08
Re=50, We=0.001, Ma=0.001, t=8.0005, E_k=0.0923536686165, E_e=6.32710000351e-05
Re=50, We=0.1, Ma=0.001, t=8.0005, E_k=0.097998878472, E_e=0.515648258348
Re=50, We=0.5, Ma=0.001, t=8.0005, E_k=0.098166418707, E_e=163.945267834
Re=50, We=1.0, Ma=0.001, t=8.0005, E_k=0.112131952273, E_e=1171.46462957
Re=50, We=2.0, Ma=0.001, t=8.0005, E_k=0.115712189715, E_e=2758.41015478
Re=50, We=0.001, Ma=0.001, t=8.0005, E_k=0.0923536686165, E_e=6.32710000351e-05
Re=50, We=0.1, Ma=0.001, t=8.0005, E_k=0.097998878472, E_e=0.515648258348
Re=50, We=0.5, Ma=0.001, t=8.0005, E_k=0.098166418707, E_e=163.945267834
Re=50, We=1.0, Ma=0.001, t=8.0005, E_k=0.112131952273, E_e=1171.46462957
