Ra=1000, We=0.5-------Peak Kinetic Energy: 4.70547715092Incomp Kinetic En7.83820205363
Ra=1000, We=1.0, t=8.00067086827, E_k=0.0899330682521, E_e=172.129112475
Ra=1000, We=2.0, t=8.00067086827, E_k=0.0342679657117, E_e=237.250400094
Ra=10000, We=0.05, t=0.467376693637, E_k=7746953.4096, E_e=-2.0
Ra=5000, We=0.05, t=0.634483444435, E_k=36023949.6881, E_e=-2.0
Ra=5000, We=0.05, t=0.634483444435, E_k=36023949.6881, E_e=-2.0
Ra=5000, We=0.05, t=0.634483444435, E_k=36023949.6881, E_e=-2.0
Ra=5000, We=0.05, t=0.634483444435, E_k=36023949.6881, E_e=-2.0
Ra=5000, We=0.05, t=0.634483444435, E_k=36023949.6881, E_e=-2.0
Ra=5000, We=0.05, t=0.634483444435, E_k=36023949.6881, E_e=-2.0
Ra=5000, We=0.05, t=0.634483444435, E_k=36023949.6881, E_e=-2.0
Ra=10000, We=0.05, t=0.469117388958, E_k=3.70843317746e+13, E_e=-2.0
Ra=10000, We=0.05, t=0.469117388958, E_k=4.46256252724e+17, E_e=-2.0
Ra=10000, We=0.05, t=0.469117388958, E_k=4.46256252724e+17, E_e=-2.0
Ra=2000, We=0.05, t=8.00023569444, E_k=6.12555305793e-34, E_e=-2.0
Ra=2000, We=0.1, t=8.00023569444, E_k=6.54908444037e-20, E_e=-5.51124797144e-08
Ra=1000, We=0.05, t=0.0870347660405, E_k=5.11539386876e-06, E_e=-2.0
Ra=1000, We=0.05, t=0.0870347660405, E_k=5.11539386876e-06, E_e=-2.0
Ra=1000, We=0.05, t=0.00870347660405, E_k=1.55244670796e-08, E_e=-2.0
Ra=1000, We=0.05, t=6.00017677083, E_k=9.13092515596, E_e=-2.0
Ra=1000, We=0.1, t=6.00017677083, E_k=1.34662932153, E_e=23.4478090207
Ra=1000, We=0.5, t=6.00017677083, E_k=0.39978074702, E_e=128.753175784
Ra=1000, We=0.5-------Peak Kinetic Energy: 1.51622171841Incomp Kinetic En9.13092582382
Ra=1000, We=1.0, t=6.00017677083, E_k=0.204924715671, E_e=217.379106612
Ra=1000, We=2.0, t=6.00017677083, E_k=0.111414359427, E_e=347.286328221
Ra=2000, We=0.05, t=2.98703317051, E_k=1.43393201843e+14, E_e=-2.0
Ra=2000, We=0.05, t=2.96614482666, E_k=1686.98979975, E_e=-2.0
Ra=2000, We=0.05, t=3.27294237695, E_k=1.56526719963e+13, E_e=-2.0
Ra=2000, We=0.05, t=3.26293337886, E_k=7387.07636924, E_e=-2.0
Ra=2000, We=0.05, t=0.0435173830202, E_k=3.15033788884e-06, E_e=-2.0
Ra=2000, We=0.05, t=0.0435173830202, E_k=3.15033788884e-06, E_e=-2.0
Ra=2000, We=0.05, t=0.785488763515, E_k=6.16345709504e+13, E_e=-2.0
Ra=2000, We=0.05, t=0.785488763515, E_k=6.16345709504e+13, E_e=-2.0
Ra=2000, We=0.05, t=0.785488763515, E_k=6.16345709504e+13, E_e=-2.0
Ra=2000, We=0.05, t=0.785488763515, E_k=6.16345709504e+13, E_e=-2.0
Ra=2000, We=0.05, t=0.785488763515, E_k=6.16345709504e+13, E_e=-2.0
Ra=2000, We=0.05, t=0.785488763515, E_k=6.16345709504e+13, E_e=-2.0
Ra=2000, We=0.05, t=0.785488763515, E_k=6.16345709504e+13, E_e=-2.0
Ra=2000, We=0.05, t=0.785488763515, E_k=6.16345709504e+13, E_e=-2.0
Ra=2000, We=0.05, t=0.785488763515, E_k=6.16345709504e+13, E_e=-2.0
Ra=2000, We=0.05, t=0.785488763515, E_k=6.16345709504e+13, E_e=-2.0
Ra=2000, We=0.05, t=0.785488763515, E_k=6.16345709504e+13, E_e=-2.0
Ra=2000, We=0.05, t=0.785488763515, E_k=6.16345709504e+13, E_e=-2.0
Ra=2000, We=0.05, t=0.785488763515, E_k=6.16345709504e+13, E_e=-2.0
Ra=2000, We=0.05, t=0.785488763515, E_k=6.16345709504e+13, E_e=-2.0
Ra=2000, We=0.05, t=0.785488763515, E_k=6.16345709504e+13, E_e=-2.0
Ra=2000, We=0.05, t=0.785488763515, E_k=6.16345709504e+13, E_e=-2.0
Ra=2000, We=0.05, t=0.785488763515, E_k=6.16345709504e+13, E_e=-2.0
Ra=2000, We=0.05, t=0.785488763515, E_k=6.16345709504e+13, E_e=-2.0
Ra=2000, We=0.05, t=0.785488763515, E_k=6.16345709504e+13, E_e=-2.0
Ra=2000, We=0.05, t=0.785488763515, E_k=6.16345709504e+13, E_e=-2.0
Ra=2000, We=0.05, t=0.785488763515, E_k=6.16345709504e+13, E_e=-2.0
Ra=500, We=0.05, t=6.00017677083, E_k=9.13897086515, E_e=-2.0
Ra=500, We=0.1, t=6.00017677083, E_k=2.0974210074, E_e=31.7079830844
Ra=500, We=0.5, t=6.00017677083, E_k=0.765697708669, E_e=172.308835212
Ra=500, We=0.5-------Peak Kinetic Energy: 2.34170028324Incomp Kinetic En9.13897086515
Ra=500, We=1.0, t=6.00017677083, E_k=0.42837791924, E_e=302.494926195
Ra=500, We=2.0, t=6.00017677083, E_k=0.238994325131, E_e=489.488274303
Ra=100, We=0.05, t=6.00017677083, E_k=0.522348600401, E_e=-2.0
Ra=100, We=0.1, t=6.00017677083, E_k=0.165150008346, E_e=0.808135753354
Ra=100, We=0.5, t=6.00017677083, E_k=0.0354551374938, E_e=7.11378074658
Ra=100, We=0.5-------Peak Kinetic Energy: 0.135325717676Incomp Kinetic En0.5223494789
Ra=100, We=1.0, t=6.00017677083, E_k=0.0144561397386, E_e=11.5539885375
Ra=100, We=2.0, t=6.00017677083, E_k=0.00644446952484, E_e=17.1881204412
Ra=10000, We=0.05, t=0.374684667804, E_k=2.00500433176e+14, E_e=-2.0
Ra=10000, We=0.05, t=0.374684667804, E_k=2.00500433176e+14, E_e=-2.0
Ra=10000, We=0.05, t=0.374684667804, E_k=2.00500433176e+14, E_e=-2.0
Ra=10000, We=0.05, t=0.374684667804, E_k=2.00500433176e+14, E_e=-2.0
Ra=10000, We=0.05, t=0.374684667804, E_k=2.00500433176e+14, E_e=-2.0
Ra=10000, We=0.05, t=0.374684667804, E_k=2.00500433176e+14, E_e=-2.0
Ra=10000, We=0.05, t=0.374684667804, E_k=2.00500433176e+14, E_e=-2.0
Ra=10000, We=0.05, t=0.374684667804, E_k=2.00500433176e+14, E_e=-2.0
Ra=10000, We=0.05, t=0.374684667804, E_k=2.00500433176e+14, E_e=-2.0
