



Re=0.0, We=0.01beta1.0, L=1000.0, lambda=0beta_s0.4, t=0.0769321352805, Drag Factor=-0.37219390838
Re=0.0, We=0.2beta0.5, L=100.0, lambda=0beta_s0.4, t=0.0769321352805, Drag Factor=1.27811373033
Re=0.0, We=0.2beta0.5, L=80.0, lambda=0beta_s0.4, t=0.0769321352805, Drag Factor=1.27811372807
Re=0.0, We=0.2beta0.5, L=100.0, lambda=0beta_s0.4, t=6.00070655188, Drag Factor=0.77869139628
Re=0.0, We=0.01beta1.0, L=1000.0, lambda=0beta_s0.4, t=6.0000910948, Drag Factor=1.0
Re=0.0, We=0.2beta0.5, L=80.0, lambda=0beta_s0.4, t=6.00070655188, Drag Factor=0.778745267821
Re=0.0, We=0.2beta0.5, L=50.0, lambda=0beta_s0.4, t=6.00070655188, Drag Factor=0.778780463056
Re=0.0, We=0.2beta0.5, L=20.0, lambda=0beta_s0.4, t=6.00070655188, Drag Factor=0.779351323001
Re=0.0, We=0.01beta1.0, L=1000.0, lambda=0beta_s0.4, t=6.00070655188, Drag Factor=1.0
Re=0.0, We=0.2beta0.5, L=100.0, lambda=0beta_s0.4, t=6.00070655188, Drag Factor=0.77869139628
Re=0.0, We=0.2beta0.5, L=80.0, lambda=0beta_s0.4, t=6.00070655188, Drag Factor=0.778745267821
Re=0.0, We=0.2beta0.5, L=50.0, lambda=0beta_s0.4, t=6.00070655188, Drag Factor=0.778780463056
Re=0.0, We=0.2beta0.5, L=20.0, lambda=0beta_s0.4, t=6.00070655188, Drag Factor=0.779351323001
Re=0.0, We=0.01beta1.0, L=1000.0, lambda=0beta_s0.4, t=6.00070655188, Drag Factor=1.0

Re=0.0, We=0.2beta0.5, L=5.0, lambda=0.0beta_s0.2, t=6.00014064325, Drag Factor=0.896507900538
Re=0.0, We=0.2beta0.5, L=5.0, lambda=0.05beta_s0.2, t=6.00014064325, Drag Factor=0.900534404056
Re=0.0, We=0.1beta0.5, L=50, lambda=0.05beta_s0.2, t=6.00014064325, Drag Factor=0.918243121652
Re=0.0, We=0.2beta0.5, L=5.0, lambda=0.1beta_s0.2, t=6.00014064325, Drag Factor=0.914948961082
Re=0.0, We=0.2beta0.5, L=5.0, lambda=0.15beta_s0.2, t=6.00014064325, Drag Factor=0.940131165438
Re=0.0, We=0.25beta0.5, L=50, lambda=0.05beta_s0.2, t=6.00014064325, Drag Factor=0.88673360234
Re=0.0, We=0.5beta0.5, L=5.0, lambda=0.0beta_s0.2, t=0.0603954869851, Drag Factor=1.0
Re=0.0, We=0.5beta0.5, L=5.0, lambda=0.0beta_s0.2, t=0.0603954869851, Drag Factor=1.0
Re=0.0, We=0.5beta0.5, L=5.0, lambda=0.0beta_s0.2, t=0.0603954869851, Drag Factor=1.0
Re=0.0, We=0.5beta0.5, L=5.0, lambda=0.0beta_s0.2, t=0.0603954869851, Drag Factor=1.0
Re=0.0, We=0.5beta0.5, L=5.0, lambda=0.0beta_s0.2, t=6.00029163197, Drag Factor=1.0
Re=0.0, We=0.5beta0.5, L=5.0, lambda=0.0beta_s0.2, t=6.00029163197, Drag Factor=1.0
Re=0.0, We=0.5beta0.5, L=5.0, lambda=0.0beta_s0.2, t=6.00029163197, Drag Factor=1.0
Re=0.0, We=0.5beta0.5, L=5.0, lambda=0.0beta_s0.2, t=6.00029163197, Drag Factor=1.0

Re=0.0, We=0.5beta0.5, L=5.0, lambda=0.0beta_s0.2, t=6.00029163197, Drag Factor=0.815466656809
Re=0.0, We=0.5beta0.5, L=5.0, lambda=0.05beta_s0.2, t=6.00029163197, Drag Factor=0.818147098321
Re=0.0, We=0.5beta0.5, L=5.0, lambda=0.1beta_s0.2, t=6.00029163197, Drag Factor=0.82632430476
Re=0.0, We=0.5beta0.5, L=5.0, lambda=0.15beta_s0.2, t=6.00029163197, Drag Factor=0.844066740535
Re=0.0, We=0.3beta0.5, L=100.0, lambda=0beta_s0.2, t=6.00014064325, Drag Factor=0.865236767385
Re=0.0, We=0.3beta0.5, L=80.0, lambda=0beta_s0.2, t=6.00014064325, Drag Factor=0.865025656068
Re=0.0, We=0.3beta0.5, L=50.0, lambda=0beta_s0.2, t=6.00014064325, Drag Factor=0.866061587544
Re=0.0, We=0.3beta0.5, L=20.0, lambda=0beta_s0.2, t=6.00014064325, Drag Factor=0.866088583736
