Re=0.0, We=0.25, t=10.000284735, E_k=103.74262256, E_e=1.87877459185
Re=0.0, We=0.5, t=10.000284735, E_k=103.567626062, E_e=13.1272641822
Re=0.0, We=0.5, t=10.000284735, E_k=103.602904055, E_e=8.44757239458
Re=0.0, We=0.5, t=10.000284735, E_k=103.591302091, E_e=8.25259591868
Re=0.0, We=1.0, t=10.000284735, E_k=103.007665688, E_e=45.5217692391
Re=0.0, We=0.65, t=10.0002544008, E_k=52.3396988568, E_e=68.9001818309
Re=0.0, We=0.65, t=10.0002544008, E_k=52.3396980021, E_e=76.1163491393
Re=0.0, We=1e-12, t=10.0002544008, E_k=52.7591691987, E_e=3.8692466887e-05
Re=0.0, We=0.65, t=0.00800094206918, E_k=2446715.18761, E_e=123.031515626
Re=0.0, We=1e-12, t=10.0002544008, E_k=52.7591586568, E_e=4.1004225495e-05
Re=0.0, We=0.65, t=0.00800094206918, E_k=1054604.70372, E_e=20.502016774
Re=0.0, We=1e-12, t=0.00301977434925, E_k=1.19897814053e-05, E_e=-0.000295940291922
Re=0.0, We=1e-12, t=0.0301977434925, E_k=2.98285577495e-05, E_e=-0.000295940291922
Re=0.0, We=0.65, t=0.0301977434925, E_k=2.98021215907e-05, E_e=-0.000296236674105
Re=0.0, We=1e-12, t=10.000284735, E_k=103.69815626, E_e=0.000358528263417
Re=0.0, We=0.65, t=10.000284735, E_k=103.560112608, E_e=13.3569502445
Re=0.0, We=0.65, t=10.000284735, E_k=103.933738483, E_e=25.7468242789
Re=0.0, We=1e-06, t=10.0002531632, E_k=42.7635093643, E_e=2.15135621821e-05
Re=0.0, We=0.1, t=10.0002531632, E_k=42.6605032877, E_e=2.05469686788
